gene_id,gene_name
ENSG00000000005.6,TNMD
ENSG00000003096.14,KLHL13
ENSG00000004776.13,HSPB6
ENSG00000004799.8,PDK4
ENSG00000004846.16,ABCB5
ENSG00000005102.14,MEOX1
ENSG00000006210.7,CX3CL1
ENSG00000007314.12,SCN4A
ENSG00000008311.15,AASS
ENSG00000009950.16,MLXIPL
ENSG00000010319.7,SEMA3G
ENSG00000011426.11,ANLN
ENSG00000011523.14,CEP68
ENSG00000013297.12,CLDN11
ENSG00000013810.20,TACC3
ENSG00000016602.9,CLCA4
ENSG00000017427.17,IGF1
ENSG00000018625.15,ATP1A2
ENSG00000022267.19,FHL1
ENSG00000025423.11,HSD17B6
ENSG00000034239.11,EFCAB1
ENSG00000034971.17,MYOC
ENSG00000035499.13,DEPDC1B
ENSG00000046889.19,PREX2
ENSG00000051180.17,RAD51
ENSG00000052850.8,ALX4
ENSG00000053438.11,NNAT
ENSG00000056998.20,GYG2
ENSG00000060718.22,COL11A1
ENSG00000065325.13,GLP2R
ENSG00000065534.19,MYLK
ENSG00000066279.18,ASPM
ENSG00000067113.17,PLPP1
ENSG00000068976.14,PYGM
ENSG00000069122.19,ADGRF5
ENSG00000069702.11,TGFBR3
ENSG00000072163.20,LIMS2
ENSG00000072571.20,HMMR
ENSG00000072657.9,TRHDE
ENSG00000075218.19,GTSE1
ENSG00000075702.18,WDR62
ENSG00000076382.17,SPAG5
ENSG00000076555.15,ACACB
ENSG00000076706.17,MCAM
ENSG00000077152.11,UBE2T
ENSG00000077157.22,PPP1R12B
ENSG00000077264.15,PAK3
ENSG00000077616.11,NAALAD2
ENSG00000078549.15,ADCYAP1R1
ENSG00000078596.11,ITM2A
ENSG00000079102.16,RUNX1T1
ENSG00000079308.19,TNS1
ENSG00000079435.10,LIPE
ENSG00000079462.8,PAFAH1B3
ENSG00000080166.16,DCT
ENSG00000080293.10,SCTR
ENSG00000080986.13,NDC80
ENSG00000081041.9,CXCL2
ENSG00000081377.17,CDC14B
ENSG00000083067.23,TRPM3
ENSG00000084674.15,APOB
ENSG00000085563.15,ABCB1
ENSG00000086570.12,FAT2
ENSG00000087586.18,AURKA
ENSG00000088325.16,TPX2
ENSG00000089685.15,BIRC5
ENSG00000090006.18,LTBP4
ENSG00000090659.18,CD209
ENSG00000090889.12,KIF4A
ENSG00000091513.16,TF
ENSG00000091704.10,CPA1
ENSG00000092009.10,CMA1
ENSG00000093009.11,CDC45
ENSG00000094963.14,FMO2
ENSG00000095637.22,SORBS1
ENSG00000099260.11,PALMD
ENSG00000099953.10,MMP11
ENSG00000100154.14,TTC28
ENSG00000100162.15,CENPM
ENSG00000100526.20,CDKN3
ENSG00000101003.10,GINS1
ENSG00000101049.17,SGK2
ENSG00000101057.16,MYBL2
ENSG00000101230.6,ISM1
ENSG00000101280.8,ANGPT4
ENSG00000101331.17,CCM2L
ENSG00000101349.17,PAK5
ENSG00000101412.13,E2F1
ENSG00000101447.15,FAM83D
ENSG00000101542.10,CDH20
ENSG00000101605.13,MYOM1
ENSG00000101883.5,RHOXF1
ENSG00000101938.15,CHRDL1
ENSG00000101955.15,SRPX
ENSG00000102010.15,BMX
ENSG00000102100.16,SLC35A2
ENSG00000102468.11,HTR2A
ENSG00000103044.11,HAS3
ENSG00000103647.13,CORO2B
ENSG00000104415.14,CCN4
ENSG00000104522.16,GFUS
ENSG00000104888.10,SLC17A7
ENSG00000105011.9,ASF1B
ENSG00000105609.17,LILRB5
ENSG00000105664.11,COMP
ENSG00000105784.15,RUNDC3B
ENSG00000105971.15,CAV2
ENSG00000105974.13,CAV1
ENSG00000105996.7,HOXA2
ENSG00000105997.22,HOXA3
ENSG00000106004.5,HOXA5
ENSG00000106006.6,HOXA6
ENSG00000106034.18,CPED1
ENSG00000106462.11,EZH2
ENSG00000106511.6,MEOX2
ENSG00000106714.17,CNTNAP3
ENSG00000107104.20,KANK1
ENSG00000107611.16,CUBN
ENSG00000107736.21,CDH23
ENSG00000108001.15,EBF3
ENSG00000108106.14,UBE2S
ENSG00000108342.13,CSF3
ENSG00000108381.11,ASPA
ENSG00000108924.14,HLF
ENSG00000108960.9,MMD
ENSG00000109674.4,NEIL3
ENSG00000109686.19,SH3D19
ENSG00000109794.13,FAM149A
ENSG00000109805.10,NCAPG
ENSG00000109846.9,CRYAB
ENSG00000109906.14,ZBTB16
ENSG00000111206.13,FOXM1
ENSG00000111404.7,RERGL
ENSG00000111452.13,ADGRD1
ENSG00000111665.12,CDCA3
ENSG00000112214.10,FHL5
ENSG00000112293.15,GPLD1
ENSG00000112320.12,SOBP
ENSG00000112782.19,CLIC5
ENSG00000112964.14,GHR
ENSG00000112984.12,KIF20A
ENSG00000113368.12,LMNB1
ENSG00000113578.18,FGF1
ENSG00000113580.15,NR3C1
ENSG00000113594.10,LIFR
ENSG00000113648.16,MACROH2A1
ENSG00000114378.17,HYAL1
ENSG00000114698.15,PLSCR4
ENSG00000115163.15,CENPA
ENSG00000115306.16,SPTBN1
ENSG00000115353.11,TACR1
ENSG00000115361.8,ACADL
ENSG00000115593.15,SMYD1
ENSG00000116016.14,EPAS1
ENSG00000116183.11,PAPPA2
ENSG00000116194.13,ANGPTL1
ENSG00000116678.20,LEPR
ENSG00000116748.21,AMPD1
ENSG00000117399.14,CDC20
ENSG00000117410.14,ATP6V0B
ENSG00000117650.13,NEK2
ENSG00000117707.16,PROX1
ENSG00000117724.13,CENPF
ENSG00000118596.12,SLC16A7
ENSG00000118729.12,CASQ2
ENSG00000119147.10,ECRG4
ENSG00000119771.15,KLHL29
ENSG00000119927.14,GPAM
ENSG00000120049.20,KCNIP2
ENSG00000120279.6,MYCT1
ENSG00000120471.15,TP53AIP1
ENSG00000120645.12,IQSEC3
ENSG00000120907.18,ADRA1A
ENSG00000121152.10,NCAPH
ENSG00000121691.7,CAT
ENSG00000122121.11,XPNPEP2
ENSG00000122547.11,EEPD1
ENSG00000122591.12,FAM126A
ENSG00000122592.8,HOXA7
ENSG00000122641.11,INHBA
ENSG00000122729.19,ACO1
ENSG00000122952.17,ZWINT
ENSG00000123243.15,ITIH5
ENSG00000123485.12,HJURP
ENSG00000123500.10,COL10A1
ENSG00000123612.16,ACVR1C
ENSG00000123689.6,G0S2
ENSG00000123975.5,CKS2
ENSG00000124205.18,EDN3
ENSG00000124253.11,PCK1
ENSG00000124440.16,HIF3A
ENSG00000124615.20,MOCS1
ENSG00000124743.6,KLHL31
ENSG00000124785.9,NRN1
ENSG00000125355.16,TMEM255A
ENSG00000125740.14,FOSB
ENSG00000126218.12,F10
ENSG00000126785.13,RHOJ
ENSG00000126787.13,DLGAP5
ENSG00000126895.15,AVPR2
ENSG00000127241.18,MASP1
ENSG00000127564.17,PKMYT1
ENSG00000127743.6,IL17B
ENSG00000127920.6,GNG11
ENSG00000127955.17,GNAI1
ENSG00000128573.26,FOXP2
ENSG00000128655.18,PDE11A
ENSG00000128918.15,ALDH1A2
ENSG00000129467.14,ADCY4
ENSG00000129596.5,CDO1
ENSG00000129680.16,MAP7D3
ENSG00000129757.14,CDKN1C
ENSG00000130032.17,PRRG3
ENSG00000130173.13,ANGPTL8
ENSG00000130176.8,CNN1
ENSG00000130226.17,DPP6
ENSG00000130307.12,USHBP1
ENSG00000130520.11,LSM4
ENSG00000130595.19,TNNT3
ENSG00000130876.11,SLC7A10
ENSG00000130988.13,RGN
ENSG00000131016.17,AKAP12
ENSG00000131069.20,ACSS2
ENSG00000131095.13,GFAP
ENSG00000131386.19,GALNT15
ENSG00000131471.7,AOC3
ENSG00000131480.9,AOC2
ENSG00000131730.16,CKMT2
ENSG00000131747.15,TOP2A
ENSG00000132170.23,PPARG
ENSG00000132561.14,MATN2
ENSG00000132837.15,DMGDH
ENSG00000132840.10,BHMT2
ENSG00000132970.14,WASF3
ENSG00000133116.8,KL
ENSG00000133317.16,LGALS12
ENSG00000133392.18,MYH11
