gene_id,gene_name
ENSG00000000005.6,TNMD
ENSG00000000419.13,DPM1
ENSG00000003249.15,DBNDD1
ENSG00000003756.17,RBM5
ENSG00000004776.13,HSPB6
ENSG00000004799.8,PDK4
ENSG00000004846.16,ABCB5
ENSG00000004961.15,HCCS
ENSG00000005102.14,MEOX1
ENSG00000005194.15,CIAPIN1
ENSG00000005206.17,SPPL2B
ENSG00000005379.17,TSPOAP1
ENSG00000005469.12,CROT
ENSG00000006025.12,OSBPL7
ENSG00000006062.17,MAP3K14
ENSG00000006128.12,TAC1
ENSG00000006283.18,CACNA1G
ENSG00000006634.8,DBF4
ENSG00000007237.19,GAS7
ENSG00000007314.12,SCN4A
ENSG00000007392.17,LUC7L
ENSG00000007968.7,E2F2
ENSG00000008196.13,TFAP2B
ENSG00000008311.15,AASS
ENSG00000008853.17,RHOBTB2
ENSG00000010292.13,NCAPD2
ENSG00000010295.20,IFFO1
ENSG00000010310.9,GIPR
ENSG00000010319.7,SEMA3G
ENSG00000010322.16,NISCH
ENSG00000010327.10,STAB1
ENSG00000011426.11,ANLN
ENSG00000012822.16,CALCOCO1
ENSG00000013297.12,CLDN11
ENSG00000013441.16,CLK1
ENSG00000015413.9,DPEP1
ENSG00000017427.17,IGF1
ENSG00000018625.15,ATP1A2
ENSG00000019102.12,VSIG2
ENSG00000019991.18,HGF
ENSG00000020181.18,ADGRA2
ENSG00000022267.19,FHL1
ENSG00000023909.10,GCLM
ENSG00000024526.17,DEPDC1
ENSG00000029559.7,IBSP
ENSG00000029993.15,HMGB3
ENSG00000035499.13,DEPDC1B
ENSG00000037280.16,FLT4
ENSG00000039068.19,CDH1
ENSG00000041357.16,PSMA4
ENSG00000041880.14,PARP3
ENSG00000043143.20,JADE2
ENSG00000046889.19,PREX2
ENSG00000048991.16,R3HDM1
ENSG00000049540.18,ELN
ENSG00000050393.11,MCUR1
ENSG00000050426.16,LETMD1
ENSG00000050438.17,SLC4A8
ENSG00000051009.11,FAM160A2
ENSG00000051180.17,RAD51
ENSG00000051341.14,POLQ
ENSG00000053438.11,NNAT
ENSG00000053702.15,NRIP2
ENSG00000054523.18,KIF1B
ENSG00000054803.4,CBLN4
ENSG00000057593.14,F7
ENSG00000058453.17,CROCC
ENSG00000059122.17,FLYWCH1
ENSG00000061273.18,HDAC7
ENSG00000061938.20,TNK2
ENSG00000064102.15,INTS13
ENSG00000064201.16,TSPAN32
ENSG00000064300.9,NGFR
ENSG00000065328.17,MCM10
ENSG00000065427.15,KARS1
ENSG00000065600.13,PACC1
ENSG00000065618.21,COL17A1
ENSG00000065717.15,TLE2
ENSG00000065833.9,ME1
ENSG00000066056.14,TIE1
ENSG00000066279.18,ASPM
ENSG00000066735.14,KIF26A
ENSG00000066855.16,MTFR1
ENSG00000067064.11,IDI1
ENSG00000067113.17,PLPP1
ENSG00000068137.15,PLEKHH3
ENSG00000068489.13,PRR11
ENSG00000068831.19,RASGRP2
ENSG00000068878.15,PSME4
ENSG00000068976.14,PYGM
ENSG00000069329.18,VPS35
ENSG00000069345.12,DNAJA2
ENSG00000069696.7,DRD4
ENSG00000069849.11,ATP1B3
ENSG00000070087.14,PFN2
ENSG00000070770.10,CSNK2A2
ENSG00000071539.14,TRIP13
ENSG00000071967.12,CYBRD1
ENSG00000072163.20,LIMS2
ENSG00000072274.13,TFRC
ENSG00000072571.20,HMMR
ENSG00000073008.15,PVR
ENSG00000074047.22,GLI2
ENSG00000074660.16,SCARF1
ENSG00000074800.16,ENO1
ENSG00000075218.19,GTSE1
ENSG00000075826.17,SEC31B
ENSG00000076003.5,MCM6
ENSG00000076382.17,SPAG5
ENSG00000076555.15,ACACB
ENSG00000076928.18,ARHGEF1
ENSG00000077044.11,DGKD
ENSG00000077152.11,UBE2T
ENSG00000078549.15,ADCYAP1R1
ENSG00000078579.9,FGF20
ENSG00000078596.11,ITM2A
ENSG00000078618.22,NRDC
ENSG00000078814.17,MYH7B
ENSG00000079102.16,RUNX1T1
ENSG00000079308.19,TNS1
ENSG00000079337.16,RAPGEF3
ENSG00000079435.10,LIPE
ENSG00000080546.13,SESN1
ENSG00000080824.19,HSP90AA1
ENSG00000080839.12,RBL1
ENSG00000080947.15,CROCCP3
ENSG00000080986.13,NDC80
ENSG00000081041.9,CXCL2
ENSG00000081791.9,DELE1
ENSG00000082212.13,ME2
ENSG00000083838.16,ZNF446
ENSG00000084636.18,COL16A1
ENSG00000085563.15,ABCB1
ENSG00000085840.13,ORC1
ENSG00000085999.13,RAD54L
ENSG00000086598.11,TMED2
ENSG00000087074.8,PPP1R15A
ENSG00000087263.17,OGFOD1
ENSG00000087460.27,GNAS
ENSG00000087586.18,AURKA
ENSG00000087842.11,PIR
ENSG00000088325.16,TPX2
ENSG00000088970.16,KIZ
ENSG00000088992.18,TESC
ENSG00000089685.15,BIRC5
ENSG00000089847.12,ANKRD24
ENSG00000090006.18,LTBP4
ENSG00000090520.11,DNAJB11
ENSG00000090539.15,CHRD
ENSG00000090554.13,FLT3LG
ENSG00000090861.17,AARS1
ENSG00000090889.12,KIF4A
ENSG00000091651.9,ORC6
ENSG00000091704.10,CPA1
ENSG00000091986.16,CCDC80
ENSG00000092009.10,CMA1
ENSG00000092051.17,JPH4
ENSG00000092529.25,CAPN3
ENSG00000092853.14,CLSPN
ENSG00000093009.11,CDC45
ENSG00000094804.12,CDC6
ENSG00000095002.15,MSH2
ENSG00000095059.16,DHPS
ENSG00000095066.12,HOOK2
ENSG00000095370.20,SH2D3C
ENSG00000096063.16,SRPK1
ENSG00000096384.20,HSP90AB1
ENSG00000097021.20,ACOT7
ENSG00000097046.13,CDC7
ENSG00000099139.14,PCSK5
ENSG00000099194.6,SCD
ENSG00000099326.9,MZF1
ENSG00000099365.11,STX1B
ENSG00000099622.14,CIRBP
